         908747 function calls (853745 primitive calls) in 1.029 seconds

   Ordered by: cumulative time
   List reduced from 579 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/3    0.000    0.000    0.006    0.002 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\manager.py:85(manager_method)
      980    0.001    0.000    0.006    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\numberformat.py:7(format)
    32551    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    0.005    0.001 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\sql\compiler.py:2165(cursor_iter)
        5    0.000    0.000    0.005    0.001 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\sql\compiler.py:2171(<lambda>)
        5    0.005    0.001    0.005    0.001 {method 'fetchmany' of 'sqlite3.Cursor' objects}
      142    0.001    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:559(urljoin)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\query.py:649(create)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\base.py:830(save)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\base.py:962(save_base)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\base.py:1081(_save_table)
    18460    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\base.py:1205(_do_insert)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\query.py:1848(_insert)
        1    0.000    0.000    0.005    0.005 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\sql\compiler.py:1871(execute_sql)
     1260    0.001    0.000    0.004    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\template\defaultfilters.py:506(safe)
     2602    0.001    0.000    0.004    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\datastructures.py:147(getlist)
     2602    0.002    0.000    0.004    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\urls\resolvers.py:108(get_resolver)
    17798    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     2602    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    32556    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      421    0.000    0.000    0.003    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\base.py:576(from_db)
        1    0.000    0.000    0.003    0.003 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\backends\base\operations.py:210(fetch_returned_insert_columns)
     2602    0.002    0.000    0.003    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\utils\datastructures.py:129(_getlist)
        4    0.003    0.001    0.003    0.001 {method 'fetchone' of 'sqlite3.Cursor' objects}
     2602    0.001    0.000    0.003    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py:305(escape)
      422    0.002    0.000    0.003    0.000 C:\Users\gocom\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\db\models\base.py:462(__init__)
      284    0.001    0.000    0.003    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.2544.0_x64__qbz5n2kfra8p0\Lib\urllib\parse.py:374(urlparse)
    13990    0.003    0.000    0.003    0.000 {method 'get' of '_contextvars.ContextVar' objects}


